,Head_Pro,Pro_Meso,Meso_Meta,LF1_LF0,LF0_LM0,LF1_LM0,LM1_LM0,LM0_LH0,LM1_LH0,LH1_LH0,LH1_LM0,RF1_RF0,RF0_RM0,RF1_RM0,RM1_RM0,RM0_RH0,RM1_RH0,RH1_RH0,RH1_RM0,LF1_LF2,LF0_LF2,LM1_LM2,LM0_LM2,LH1_LH2,LH0_LH2,RF1_RF2,RF0_RF2,RM1_RM2,RM0_RM2,RH1_RH2,RH0_RH2,Axis_Bar,Axis_Fix
0,302.1459981427889,297.7277927142193,295.73458116231444,256.79870317911593,298.54497224438774,281.03146036597377,228.6818688219541,302.35814096394967,278.08441984407045,145.85618316896395,133.54238983898452,329.3556087059785,289.7082601506871,303.8576960751131,37.92975005259856,287.3880352003944,355.2328076515932,67.92929803597357,79.27502888240235,101.25834596387745,87.05749875112434,350.5850470435625,23.78888924159617,231.6706488952057,284.11053718510027,139.53002005873265,145.18820618060758,262.01767667512775,236.65832635239883,338.0118809497815,284.4470265838303,89.40954610281544,124.54118819965043
1,302.9784709905441,298.60788332378206,297.8678632196332,265.04315773483233,298.8316583935605,286.8857465013277,231.2087970556969,302.0236837450888,277.97854965333715,146.19542817890874,133.624243912775,330.8542003594134,290.5943990408472,304.15896181150885,38.62851533553543,287.49442051338826,356.51830189543267,68.09920357447501,79.34974791003108,99.97872335915044,92.29203586029176,348.15718765431814,25.20710095062352,232.76105900229192,284.8389930828639,136.0687408299912,144.18446909890892,264.20354778680746,235.97218808642816,339.67764731522266,284.8741433205112,89.42020701497003,125.7409885896777
2,302.0420400337503,298.57228360248564,298.484419910589,266.2307342463007,303.3225887425069,291.65661356597167,240.64056778155265,300.0447649752436,278.79674927344854,146.4622962191845,133.17070521786235,331.1699346354312,291.814328239307,304.8743086535254,38.98303024057391,287.4583705601852,356.67108642780266,68.12956904037593,79.30466777785243,113.76260185419146,101.60130902371657,347.41801397344364,29.632974163004626,232.87245357692703,285.1860808352711,133.00374654551834,142.80422537427748,263.6000865224564,236.03320169359588,340.819416600648,285.2047683194635,89.38419022788445,126.35734423442427
3,300.5878627375834,299.1349962249731,299.2913066244841,268.0528719212393,304.34292184021723,292.88498206220817,240.6170011056048,300.7043266564311,279.0395190158812,146.19873562828204,133.34065097599756,332.669681794041,292.6450369450201,305.9743431235452,39.183911560888895,287.81185927115786,357.10276837867946,68.52263233747848,79.60279342061554,115.0191560006598,102.82506764396834,346.4811466114859,29.546580665122928,234.09325400138343,285.2052490563091,133.57551917066596,143.66223441543565,263.8933697917902,236.3380789358182,341.5304678915093,285.5951263073258,89.42699271025677,125.59098974575988
4,300.48280731327765,299.8266667068525,300.6016441535247,270.1349101911805,305.4838486693055,294.8600884207563,240.66809805086623,301.24243952083947,279.5770139200498,146.3783555766635,133.68535375328264,334.2366017859463,293.3800191634705,306.8379781246204,39.862356145194006,288.20684601075806,357.92207976150667,68.7011052440394,79.7478331980361,110.29364004297368,101.17156270177176,346.89768222614384,29.238748759047688,234.9177160396308,285.7425401350547,133.07719391330272,144.74103882314273,263.8870955089671,237.0547621602359,341.0739051707567,285.7358151868622,89.32930490191795,126.64630450768294
5,301.1646700079839,300.1048047892657,298.75345920871507,269.5923807058381,305.5410678560875,295.04166831393303,240.06884358318217,301.600146138387,279.55590707255215,146.17853215270245,133.76914767425532,335.1961219601752,293.1984352331316,307.2503758470965,40.09669600604859,288.4326616227784,358.0934351632043,69.02919372885682,80.02007526881249,108.5599917141612,100.2271142142977,346.8705568015288,29.06876803838745,236.36656832854723,286.1005269456887,132.46989083133587,145.26603619103355,264.4231127903456,237.44981794682343,340.69421558946414,285.75202513206585,89.28452158653288,126.7718716556224
6,302.2274953447732,300.17043419794123,298.8430412568713,268.73392658880465,305.7773039150133,295.3392892189,240.55817985378908,301.7736867978037,280.16498299496044,146.0599456738721,133.81600699244842,335.98976252279454,293.1573918503553,307.6865663355771,40.692147753612176,288.78251997591195,358.49148465280285,69.09643790187283,80.19426858165838,108.69837753772347,100.12062030384374,348.3112300232318,28.85631682009592,236.7165803268961,286.1508318003866,131.19993017524104,145.73808646744916,264.53156834214326,238.01470334357583,340.0580862205458,285.7771969530151,89.32235424089859,127.01144481979672
7,302.2710767782947,299.9385364858555,299.1012242496541,268.8511585580138,305.99069526149094,295.584183002929,241.2276425108078,301.8189169367311,280.475000439121,145.88128426273423,133.80699942721915,335.15428396203407,293.27749939682343,307.30788975213466,41.16613885237857,288.76792094583044,358.3728582891421,69.16335277050622,80.33906908670377,116.72709117915478,103.4254513283641,347.87041482232786,28.327311783994773,236.3485039196164,286.11956380045933,131.01808666057218,145.17979183642925,263.8265876123219,238.39927238029924,339.9015895073632,285.97053209084123,89.2973495629288,127.18746238227966
8,302.1673822492784,299.6277207979825,299.22212012070827,268.8412920107774,305.8100586916022,295.5773170745387,241.2083702373297,301.7690641970639,280.36748611322776,145.51803109817808,133.68389226472792,336.3396309100694,293.00198180659885,307.35962604906257,41.36241344757397,288.7300259733481,358.30033201352927,69.10134162361018,80.29788585810172,117.15141356238357,103.8383412593214,348.2108829845495,28.12552077006505,236.3297315701099,286.05754209166224,131.37592283096453,145.78213528624974,264.6930840481341,238.9510434946672,339.05315632967046,285.9858157921957,89.3079715390982,127.1503667825044
9,301.77094146725176,299.09523084477985,299.1592406774782,269.0635766844955,305.6194546723426,295.4085169164441,240.36316075022916,301.2368646599067,279.71084637666434,145.6180438636309,133.4438496968419,336.05352293637435,292.85138966134633,307.15939924791,41.43003627238814,288.4866834281929,358.22076303753227,68.84779803546392,80.0741326751799,117.86341840370488,103.99100800029582,347.5054816452373,27.94175713160452,236.54315206900725,286.155573001465,131.56291319379807,145.81212262870304,263.9718644321438,238.70933139775872,338.63009565767464,285.947411463761,89.30865986441162,126.74688017415734
10,301.7934767121914,298.78852635610724,299.1247179373563,269.1305181566368,305.5421774115364,295.3925094125018,240.96236405437705,300.95769761873026,279.8202859683563,145.36399219746224,133.22773663402242,335.7561079426212,292.31521513013644,307.0147114166719,41.965056573253705,288.2685861238514,358.4949667603528,68.97760702046165,80.14045188015467,118.06032337289996,104.2218100788736,348.2010607646329,27.690408518208187,236.2077996261228,286.2365403536086,133.1531021578367,146.56197990104778,263.09214524696404,238.77627314692143,338.3997116972899,285.8540124508185,89.32159996459667,126.60604217201544
11,300.3645783304844,299.24305435594835,299.347943249652,269.6490661876569,305.45527734942226,295.28611659118815,240.6631269234402,300.8908035016412,279.5797407363393,145.36006413628496,133.17985664568536,336.0699071072771,292.55460471254963,307.14985673606645,42.65605274362674,287.97451582429943,358.6955853850397,68.91461986817733,80.10610924170574,118.12354987225994,104.37253942506588,348.0803933355324,27.68509505821981,236.97980078020828,286.30237754058635,133.0478566809929,146.46815996149044,262.9992937397058,239.1623493557189,338.0758600366001,285.8885649358736,89.41969986543427,126.60315291493364
12,300.51260390690766,298.8791103945741,301.0659135733027,270.0400182836543,305.30219759994753,295.2963899188295,241.0039580398946,300.78553970075995,279.58274933843086,145.63613306124245,133.2826654945022,336.0396073638419,292.5232654612416,306.9610571209905,43.07982797188589,287.8349707900585,358.76596878832146,69.0675700159744,80.19949883975015,117.30448516279228,104.22549861197452,347.21026096763035,26.71355886820869,236.88831240308048,286.2643499891415,133.77380222101178,146.5359254901545,263.0244750536868,240.46916103934063,339.0406757563974,286.1287160316178,89.50400340392379,126.87848700950435
13,300.8703345613848,298.8113882995975,301.14551204530386,270.3855767069512,305.3266214508639,295.43282018049825,241.608967294563,300.9085822088794,279.90134931231177,145.56294502253544,133.3183255149494,334.905149831988,292.88857059367746,306.82903833071896,43.28677544034279,287.68654524392804,358.9885011575757,68.95447532976809,80.09460028603985,117.27248697199911,104.51176129780151,347.7865580503156,27.00023796063338,236.98235650737425,286.3124891664333,133.37083220681706,145.5921161435109,263.00067924686977,239.26030782650707,338.9677519712102,286.1870955919469,89.47343675071869,126.84870975313846
14,300.9482339032455,298.9282852429013,301.08473828396245,270.3416476102052,305.50819383371703,295.53074565710995,241.41693785864763,300.70242105803703,279.82000765177486,145.589232987483,133.1805453647875,335.18868026446967,292.9083269241119,306.99698171291766,43.19214415434394,287.12026867473605,358.9733638244828,68.82457934486966,79.88803797481,117.3586327593678,104.4579543818245,348.7530861330345,28.058382212939197,237.24369245423287,286.25897524150446,133.44174574848452,145.44098294887428,262.6844880454146,239.184234811628,337.8949787644572,286.0209866716283,89.44859512769627,126.67080828948544
15,300.9628480759996,299.38406111630206,299.1456021938333,269.660616964459,305.8819007880972,295.68444504135323,242.64188077029104,300.7762693903486,280.30149337985426,145.51750550193066,133.21585295348822,334.5715475658753,292.7721560853346,306.7606566954318,42.70879799425578,286.90221171,358.2700030134748,68.46814898183818,79.67220660765732,112.88862322044304,101.02871768195148,348.8083196956273,28.30101412402838,236.9745489967996,286.0515139647707,133.8804303501472,145.29638892054865,263.3153299219515,240.49484025780356,337.2350206531493,286.1434025707929,89.342855156236,126.77396597563538
16,300.733348485054,299.4642719850024,298.88735147290225,269.2977089185776,305.79607096574154,295.51238588915817,242.87194525245687,300.81753151064686,280.44410856388487,145.3108495164848,133.14599669831554,335.2137573008204,292.86011639134074,306.9516816388523,42.41062370934522,286.7430673213229,357.9326592258985,68.61217622273914,79.71929920164635,117.64506546839058,104.38329076841708,349.2616347064088,28.48819754159308,237.00483528957207,286.1773632209698,132.81361540349243,145.10154768809363,263.5293066211423,240.4079563488372,337.1902256429284,286.0429508441167,89.29162127042349,126.82809828094844
17,300.8199428658364,299.5453193161167,298.69817264484743,268.94320111107163,305.8706540613123,295.4966601371101,242.8285311134684,300.9441656586349,280.47046852766385,144.92692710903634,133.04508426132907,334.5554701824827,292.67628767531085,306.65626358677633,42.531957884192586,286.47516128866664,357.7265123615188,68.50710657066506,79.67558267669264,112.77297783385886,100.79355325634948,349.595367480349,28.687926142800787,236.29378504264685,285.9110970511019,133.7048420585419,145.10809697824806,263.8835754712529,240.59982502095545,336.7842694517664,286.1291367952249,89.24730703463706,126.72270360257328
18,300.985530631505,299.4137627904911,298.9486392677038,269.1245762980053,305.74797521659605,295.5254492141368,243.16459479906663,301.04705244263,280.5968547111054,145.0453088796142,133.17398937968892,334.061534321879,292.6228938657438,306.50455937684643,43.190552924436616,286.4656017193395,358.1727014503804,68.64514453570372,79.83965862766473,113.16908265491612,101.02865253757118,349.26762264371825,28.67894862198696,235.9717112401466,285.86251210830824,134.36422231014507,145.19426088492037,263.66453044546824,240.762518841014,336.91706060346115,286.369005751433,89.3205948161591,126.87030492477786
