,pred_direction_x,pred_direction_y,label_direction_x,label_direction_y
0,-0.5352857112884521,-0.8308578133583069,-0.6937876650677155,-0.7201796135686481
1,-0.546208381652832,-0.8326473832130432,-0.6915529484534853,-0.7223257710239135
2,-0.5533406138420105,-0.8281304836273193,-0.6899347161153856,-0.723871596002207
3,-0.5461974143981934,-0.8330560922622681,-0.7298426454887424,-0.6836151789025707
4,-0.5446820855140686,-0.83408123254776,-0.7337953427786449,-0.679370587320625
5,-0.5423460006713867,-0.8359969258308411,-0.7345184966280691,-0.6785886663592615
6,-0.5508553981781006,-0.826796293258667,-0.7304982317869024,-0.6829145871602165
7,-0.5573751330375671,-0.8271539807319641,-0.7296961154721052,-0.6837715839846813
8,-0.5469372272491455,-0.8317757844924927,-0.7030592193369901,-0.7111313058115653
9,-0.5566869378089905,-0.8271920084953308,-0.6909587816091123,-0.7228941569256534
10,-0.5449650287628174,-0.8311998248100281,-0.7043291237214152,-0.7098735700657008
11,-0.5267871022224426,-0.8458735346794128,-0.6933926704047167,-0.7205599243845136
12,-0.5327222943305969,-0.8361157178878784,-0.6909092771156582,-0.7229414712101655
13,-0.5243545770645142,-0.8491271734237671,-0.6947565937284629,-0.7192449342684476
14,-0.5121625661849976,-0.8541014790534973,-0.7139735340412435,-0.700172687762567
15,-0.5381988286972046,-0.8259941935539246,-0.7007792024623672,-0.7133782372600166
16,-0.5355205535888672,-0.8385645151138306,-0.6919485808812463,-0.7219467857234557
17,-0.5093549489974976,-0.8452069759368896,-0.6658304532693755,-0.7461030810143449
18,-0.518362820148468,-0.8328417539596558,-0.6685095037438233,-0.7437035991604364
19,-0.5088769793510437,-0.838819682598114,-0.6567839482371244,-0.7540788057876009
20,-0.511748194694519,-0.8309875726699829,-0.6642107887976899,-0.747545335110019
21,-0.5399919152259827,-0.8360767960548401,-0.6557370882473245,-0.7549893185316734
22,-0.5332204103469849,-0.8104269504547119,-0.6437048924035,-0.7652738147198024
23,-0.5152982473373413,-0.8417533040046692,-0.6406996060036384,-0.7677916480835035
24,-0.5480744242668152,-0.8333122730255127,-0.6236716977894914,-0.7816863906813099
25,-0.5541795492172241,-0.801777720451355,-0.630209589998121,-0.776425059277713
26,-0.4804580807685852,-0.8714032173156738,-0.6363709105450731,-0.7713832148887053
27,-0.5150996446609497,-0.8544512391090393,-0.6210073566126001,-0.7838047352708651
28,-0.5360177755355835,-0.8423503041267395,-0.6372707847903215,-0.7706399592888548
29,-0.4903126657009125,-0.8635700941085815,-0.6704030111090037,-0.7419971716226289
30,-0.5595259666442871,-0.8138782382011414,-0.6301086169560066,-0.776507006303091
31,-0.5847075581550598,-0.8063452839851379,-0.6811556032596082,-0.7321386782215779
32,-0.5901510119438171,-0.8043232560157776,-0.690498419852737,-0.7233339008928541
33,-0.585608959197998,-0.7714871168136597,-0.6973467338252838,-0.7167339344716481
34,-0.5816023945808411,-0.8046849370002747,-0.7044848364707046,-0.7097190396085232
35,-0.6029776930809021,-0.7937999963760376,-0.7130277909782673,-0.7011357709407304
36,-0.5763019323348999,-0.8178173303604126,-0.7264981969241314,-0.6871683708276932
37,-0.5957993268966675,-0.8062209486961365,-0.7326620021882404,-0.6805926759446642
38,-0.5939647555351257,-0.7930598258972168,-0.7282483461283253,-0.6853133198481982
39,-0.5969622135162354,-0.7964200973510742,-0.7455565436902547,-0.6664423757239941
40,-0.5780065655708313,-0.8176906704902649,-0.7486195220154442,-0.6629998576601415
41,-0.5776703357696533,-0.8050581216812134,-0.758183857115772,-0.6520408260293605
42,-0.5822886228561401,-0.8070688843727112,-0.7694901505414093,-0.6386586789669104
43,-0.5993120670318604,-0.7943782210350037,-0.7708300187138865,-0.63704087957489
44,-0.5772724151611328,-0.8081433176994324,-0.7688099865759856,-0.6394772900901429
45,-0.5957921743392944,-0.7977200746536255,-0.767486184682668,-0.6410654852050931
46,-0.5859758257865906,-0.8062117695808411,-0.7755240374001174,-0.6313180398298636
47,-0.5838035345077515,-0.7925167083740234,-0.7553612151940271,-0.6553086559634343
48,-0.5924445986747742,-0.778355598449707,-0.7441367580873988,-0.6680273087705144
49,-0.6153178811073303,-0.7797067761421204,-0.7201458474187246,-0.6938227139879228
50,-0.603130042552948,-0.7925129532814026,-0.715843117919642,-0.6982611478000803
51,-0.5971593856811523,-0.7924712896347046,-0.7189221985774251,-0.6950905497793805
52,-0.6185591816902161,-0.7851828932762146,-0.7010996030269412,-0.7130633538721967
53,-0.578505277633667,-0.7867677211761475,-0.6897304095009316,-0.7240662692113735
54,-0.6109300851821899,-0.7850846648216248,-0.6764392350628012,-0.7364984462085798
55,-0.6065276861190796,-0.7885693907737732,-0.6809504760678843,-0.7323294676188592
56,-0.5807474851608276,-0.8037256598472595,-0.6847407749813844,-0.7287867116501872
57,-0.621868908405304,-0.7629079818725586,-0.6728409582966073,-0.7397871618502873
58,-0.6157615184783936,-0.7680184841156006,-0.6570971026175004,-0.7538059416930104
