,ThC_LF,ThC_LM,ThC_LH,ThC_RF,ThC_RM,ThC_RH,FTi_LF,FTi_LM,FTi_LH,FTi_RF,FTi_RM,FTi_RH,Direction,Direction_x,Direction_y,Vel,Vel.x,Vel.y,Ang.Vel
1743,145.39035736097674,40.85852154660653,19.25415080949708,118.37315574319308,109.46484780140976,26.03110685815909,133.10874338390698,142.3260002161508,11.432407953771614,13.923694720294554,171.8244004746246,128.93756872391393,348.571460282874,0.980172597516168,-0.1981456007041497,85.0647914845937,70.95034920062648,-45.925561102785295,-0.09050865517965558
1744,143.5511227158868,47.38967556627901,13.245221051288809,121.44076046262973,107.47638205146004,25.916445249847385,119.6275659509884,132.27005011035828,16.790505045622965,17.290639895448315,174.7778063821185,136.16600097264117,347.0370821433091,0.9745154502638228,-0.224320389615164,86.79321686677615,72.09145982015393,-47.28186616635553,-0.08068776054474225
1745,140.38870825941888,58.39770622184534,16.257830308504026,112.10253568592526,101.5806802674612,23.051508941308583,55.63340711490173,141.00503700968673,23.12546300450623,7.459274642730009,159.40943358392272,141.40401750707986,345.65069521309243,0.9688028223736244,-0.2478327891157653,88.07814752474737,72.8291297492831,-48.413252324432634,-0.07643856421760904
1746,136.74860780351395,65.36345213924281,16.71379454630187,117.13292166486492,97.93087971720136,22.72848300864905,19.909398612009664,144.52658116497668,36.5823991512274,10.741741730166458,140.6277382511072,143.49164853349612,341.7274995877312,0.9495760715820027,-0.3135367351346425,88.9581313782465,73.18548908588785,-49.35366116175895,-0.07763359030844197
1747,136.47537845364923,77.80945688634681,22.54483838598009,126.47592141145164,98.58288898485634,20.31529691280716,6.103267472342307,154.70872089111472,41.66978753745335,92.2743857850814,118.5434442561972,142.0729902481901,339.9182900032146,0.9392039075595868,-0.3433598986847515,89.45956794287851,73.17122861006634,-50.13130494345423,-0.084308689599966
1748,129.70934476350052,81.89482212062812,20.72710884071239,129.76851529153362,94.07084211390756,20.269523049024,8.836556348071277,160.36772515060704,46.6140757835126,160.41648617836032,91.8663823385286,137.80304588666368,339.46898230770284,0.9364824634336324,-0.3507144075758441,90.0917113735366,73.3274569358261,-50.85756841674796,-0.08995026767564855
1749,122.81295511966933,88.56818789667533,18.546178191781,138.66805477486008,91.03193021133336,19.134491139646315,6.718937752162272,168.44883063648925,57.41031538173976,159.97608226182632,160.42831234110344,127.47453500448214,339.42545709594395,0.9362157701522124,-0.3514257129441439,90.87352597314049,73.65886091293997,-51.554239485838934,-0.09472757187776012
1750,118.51776697306435,94.42184342089632,16.878792656216035,140.35211449432865,89.56573498825182,21.633603751510265,2.3700922093263865,170.434646153104,64.46232948786081,164.1867177868034,125.56937411300363,119.10994461261888,339.5075834983391,0.9367185334473302,-0.3500834030574469,90.67178989810219,73.53461180840836,-51.217259656401104,-0.09947213898151425
1751,124.07530713523876,99.98656499223088,16.457456628756262,142.47920827152416,85.33236934935256,23.65027895206333,2.198001387274625,177.27264241337303,67.61177569315201,155.78839242116263,135.4835544143065,105.84154693102786,340.11369294869326,0.9403694464583008,-0.3401548238195496,89.48045106617055,72.9509821490953,-49.83651953355137,-0.10432630600002352
1752,126.26832329535884,99.6583198061746,16.474952952071504,143.44570925963842,82.92805571921593,23.368154131573675,7.300316414696681,173.87588141937283,72.58437614752948,152.73186569563742,113.36351610693364,94.80497046924307,339.2233069914109,0.934970050785684,-0.3547266611544945,88.7996454042605,72.92772858283591,-48.510433249442116,-0.10892629546576338
1753,126.43952578375357,101.57437614228904,16.319128759228704,141.7213299567626,81.10783863889846,25.00864694271852,12.0899007970793,177.42888927672354,80.83270489119415,152.0604178202908,89.5685763364497,86.07413902825485,339.2591407825002,0.9351917202263058,-0.354141845056699,88.60894874251483,73.46415350264243,-47.1992182155501,-0.11341010706270598
1754,126.12590709438808,102.48687595711388,13.884806553715949,146.0480792661035,73.28053493620705,23.544010709583745,18.8588058975578,173.68966552685913,87.90715555862579,142.9944590319434,95.49908188646324,77.25588891090219,340.5121413972007,0.9427122060563892,-0.3336070990735897,88.90264018108108,74.57634965610907,-45.863537980858496,-0.11791225513875962
1755,118.7962154819926,103.5604445865318,14.28000555934895,146.794378819941,68.75246721857188,25.472590256223786,25.69241589913355,179.11032393579026,96.56143969927196,143.22568982859616,110.71902605204306,67.60530256724223,343.28063819401075,0.95772533320382,-0.2876841777707491,88.54939749030765,75.21053437171697,-44.003811300570064,-0.1218525434519247
1756,112.3971184073504,98.76156651126226,12.258772479036452,157.5126543975629,64.69947727688567,23.829190534122915,34.58204833266496,177.50440830077991,107.60708913612471,158.46966512232902,119.53226375754276,52.08200168103139,344.1970033529336,0.9622037515866207,-0.272330571975738,87.53862338947134,75.38573319093437,-41.5642463742761,-0.1253491806515962
1757,104.99115470234912,94.87983086551348,9.867778606685649,157.67460942667,59.95961849346279,23.651713703297418,37.10537588621424,172.2373004533693,117.82945589622472,153.90531326579145,117.2083751255678,41.70514912722273,344.0728421129402,0.9616113463406842,-0.2744150480364673,86.87657186201828,75.7978559491591,-39.328768695704625,-0.1286994025424
1758,89.13037463119568,90.58052333617177,9.912957121776202,160.66345458781203,51.594844744679314,19.70920138490945,49.1789538125274,153.69587211940194,127.7582989137398,147.23153986380945,118.6408456835952,37.690190612065045,344.7723642480301,0.9648899192415632,-0.2626546092228535,86.54338136212488,76.45926632913792,-37.23031393449848,-0.13200371578106032
1759,93.01690030864592,82.64285433914748,5.852546543985199,156.24499946751666,45.538438741337,22.74400329103321,65.43810977359514,88.63555458331565,135.43889054094802,140.1492240868537,126.05713763607612,29.75642047380089,345.3472628909911,0.967476746832046,-0.2529599658825107,86.52905617479435,77.38980664227017,-35.205928447821485,-0.13536124976473687
1760,106.27066969251476,80.62424918308074,6.278199085589222,148.36798165679895,40.331973908158304,21.47997431503731,66.08191489644578,33.38968234472673,142.01768169615335,120.31714901041624,133.16078802723234,39.30386205170585,346.6137608337419,0.972831509477028,-0.2315142634237619,85.90029938388321,77.60892326373711,-33.18593991251982,-0.13657517632415717
1761,117.979271028283,78.62742895317885,8.286689119082638,144.76540434881113,36.33807693852916,28.660027956351684,116.47298295507956,56.137763011691874,143.05988940161654,98.0127108209262,143.6873356825158,39.49449622901273,344.8771148295872,0.965368502746635,-0.2608901184497414,84.6382482856641,77.12318969218275,-31.10974867253443,-0.13568191325610376
