,ThC_LF,ThC_LM,ThC_LH,ThC_RF,ThC_RM,ThC_RH,FTi_LF,FTi_LM,FTi_LH,FTi_RF,FTi_RM,FTi_RH
0,-320.15476445196,-252.7557869326949,-209.16657387954317,-45.82504074437403,-97.8346056778231,-138.49697618523498,138.0796332659512,223.02435979392737,-101.97259494800711,-154.3813635530027,126.12284508002948,92.73652593551527
1,-320.86827619573893,-252.7642345860261,-209.05456140382316,-46.49918991182988,-98.02965461423494,-138.3569522864405,138.88895778534587,223.83551815891147,-101.6206947879394,-152.24837429372448,126.19671638201834,92.63374876326743
2,-320.24936701948985,-252.711956643398,-209.1645010610731,-46.22723979584452,-98.08467975627326,-138.5356266338614,137.72460860923135,223.04792475664976,-101.52762794584152,-153.24716905852512,126.38418425714296,92.65983841171251
3,-319.93638921941124,-252.4850169803828,-209.2328931374895,-45.98618862481815,-97.9472274315752,-138.4628978235844,137.60883587405104,222.37898170930825,-101.82392680959026,-153.82427979349436,126.45696635151904,92.29476074090104
4,-320.015060091535,-252.47659290647695,-209.2069532236073,-45.78592328384112,-98.01751855869486,-138.527078869436,137.10381368966307,222.5443934465012,-101.9679373809652,-154.62356458792038,126.31288856563528,92.57707114716962
5,-320.13920683034735,-252.4224086598784,-209.1761821715621,-46.285515637042415,-97.95772156920675,-138.38547495529514,137.528276373271,222.29914573524724,-101.8156560884608,-154.53105768010164,126.34705546332071,92.35209278749733
6,-319.7996433811685,-252.50682795495536,-209.20965066826457,-45.73807850982449,-98.07527171101738,-138.29387956553228,137.36612488747278,222.4909288404728,-101.37429492308326,-153.96470650489454,125.91252040003496,91.89894358592656
7,-320.2633808164392,-252.6582075695456,-209.07739751731577,-46.24384123220356,-98.27379604535244,-138.44153479166346,137.96583193846104,222.30697885676648,-101.69218447114582,-152.97795558431227,126.1186877457002,92.15543002203856
8,-320.39231096721204,-252.79147594824943,-209.3866653156109,-46.36592691481672,-98.26196627932671,-138.6119642222173,138.1317564276562,222.87825064474535,-101.1851990874976,-153.16435077491428,127.01482734608588,92.5022835050332
9,-320.0259182040525,-252.42937346330683,-209.36368529152796,-46.30131689226534,-98.36249136278984,-138.5396861361423,137.34698769305922,222.6503452635232,-101.36996609064246,-152.56137051162318,126.9988808753689,92.4042093998604
10,-320.12090730383727,-252.312038933218,-209.40232885326984,-46.233604756329214,-98.28528637638624,-138.398413150083,137.500296386867,222.6944669134211,-101.48135635213524,-152.935381204215,126.82978020894444,92.37227997642717
11,-320.0929821628493,-252.1392378215251,-209.4734761221901,-46.05609279143883,-97.964626213535,-138.49367529716574,137.60928533283823,222.4888046631124,-101.72102989112994,-153.7027730090669,126.35110828847188,92.20046131922274
12,-320.18321127650484,-251.8796092724188,-209.57457268691783,-46.2123879874934,-98.0835753752527,-138.51305561578562,137.5240282806007,222.19986248725505,-101.53828530697832,-153.8221675799281,126.45246900401251,92.20813116565108
13,-320.0717348076591,-252.3378930399065,-209.51693229145363,-45.907377679764885,-97.88581302270325,-138.46088038768576,138.1583443300177,223.44866867501585,-101.38463084243946,-152.43559797050676,126.0739167007037,92.45375586549598
14,-320.1398064003207,-252.16885382286424,-209.44764490709704,-45.98193621782863,-98.2942545893562,-138.63559195220054,137.99511456837047,222.92902110324675,-101.49788784702532,-152.81450916989945,126.8045969462144,92.37554216274874
15,-319.92158084783443,-252.54242647281205,-209.22581143310055,-46.03662695089562,-98.34279631358466,-138.35397325457646,137.95091866652513,222.85384078439088,-101.23496823444208,-153.34857265069934,127.077992664816,92.23586779262575
16,-320.0487935771562,-252.43093717536664,-209.10464398305876,-46.26085394213767,-98.45280261591572,-138.26260609196342,138.24082915308253,222.83941043909005,-101.74927951354532,-152.6579285823064,126.9860903125918,92.4248775075737
17,-319.6402229482586,-252.8087713443861,-209.0925639165141,-46.142901309567655,-98.50298178372373,-138.15291611635274,137.76623617775766,222.6232352103324,-101.58645750538676,-153.43923221768125,127.2214033644041,92.41390951707352
18,-319.80438782884033,-252.72708447144416,-209.2814446578181,-45.99677613160888,-98.39351814895876,-138.32088819253443,138.5078653092566,222.55238119745,-101.69046797651384,-154.6596084152086,126.98090865836576,92.57444191574496
19,-320.2647722492303,-252.58177903793552,-209.3758529117904,-46.28970011088682,-98.40167701738126,-138.44746269980934,138.22400107538394,222.71585018362128,-101.43470367046385,-152.2244033532213,126.89062059260644,92.80408896667127
20,-320.1182418795234,-252.24840325291123,-209.4438253015644,-46.17404713041745,-98.0412581383612,-138.5677313176777,138.20850395268295,222.17642237776988,-101.47288402885049,-152.34924381398991,127.04927603170307,92.454674433258
21,-320.0876495182277,-252.4989527705199,-209.3012519544905,-45.92309345564731,-98.3566323794761,-138.6018644747558,139.04878256178796,222.04271496503932,-101.9143167987868,-152.4526711933712,127.30070659903454,92.4410748004427
22,-320.1035238696942,-252.35566340259624,-209.28068353041425,-45.92068763902898,-98.28546011015702,-138.3730988694913,139.19819724627166,222.20308122980495,-101.84105032835498,-152.46107293199242,127.07560128249958,92.45832842824338
23,-320.1860859705918,-252.1929647141882,-209.3494558961472,-46.01941688455232,-98.1520112791734,-138.61903161285275,138.81166651006703,222.0179891242324,-101.88212913161452,-153.34765089636946,127.17294803619352,92.48712371255856
24,-320.11484752480885,-252.2053406711418,-209.3635390055913,-46.47695856910793,-98.01949426267448,-138.62460592200358,138.4490156294686,221.6564692195612,-101.72731512915738,-153.14296282175712,126.99615829752418,92.24829425401178
