,RMSE(Vel),P(Vel),RMSE(Vel_x),P(Vel_x),RMSE(Vel_y),P(Vel_y),R2(Vel)
c16,25.971581273853573,4.124172517085668e-98,19.092316236335304,1.1020718335512926e-153,24.846409647871226,0.12795701740296633,0.02568416294107645
c17,23.961672714571502,1.843805070723143e-58,21.33281453963606,6.06248387301976e-202,28.64717348097101,7.54578370018963e-38,0.6918935485010373
c18,28.39610755077103,4.778047650031479e-07,13.648911719627,3.708602741160711e-19,30.921440528831994,1.057819198512824e-31,0.6785371076911919
c19,34.88733132316779,5.151154084835957e-79,29.936530322698676,9.104479645810875e-209,52.628636572285146,8.044117808389753e-173,0.7848876978204219
c20,51.94460131667925,7.871963724709407e-29,22.58227884824911,1.1862752756061722e-19,54.25105643179082,1.3174303907333268e-58,0.5821225298882786
c21,38.35963596196429,1.0426788297008945e-22,16.746106330105604,0.0034729506798609616,42.68125046734438,2.125068714747302e-31,0.8250028655956003
mean,33.920155023501245,7.963412750052467e-08,20.55649299944196,0.0005788251133101603,38.99599452151576,0.021326169567161057,0.5980213187396011
std,10.376814349356968,1.9506297848802296e-07,5.60480370620441,0.0014178261779185482,12.685852165017952,0.05223823360761578,0.2931064807981167
