,RMSE(Direction_x),P(Direction_x),RMSE(Direction_y),P(Direction_y),R2(Direction)
c16,0.18677012485575858,2.0010044269474057e-06,0.12411328295876199,0.7190143940036523,0.9497128134545626
c17,0.034205184053001395,0.01936116278228023,0.16766881671140924,7.301864180220185e-05,0.9707171732864962
c18,0.1515316406780137,0.0035978926714666116,0.09794287049876142,0.148224362351716,0.9674453559918922
c19,0.16992344710287915,1.0159135334201025e-11,0.1190607298531286,0.5650351345235411,0.9569505647315154
c20,0.09914768314739325,4.656512372131546e-19,0.10867428955196975,8.934006118217475e-10,0.9783596357168788
c21,0.11364554816689316,0.0009677494800341637,0.09070606097355181,0.24872744594193377,0.9788570998845086
mean,0.12587060466732322,0.003988134324727848,0.11802767509126381,0.28017905939267435,0.9670071071776422
std,0.0558104096605196,0.00765904310818312,0.027348493783651565,0.29969330302447056,0.011691753720405916
