,RMSE(Vel),P(Vel),RMSE(Vel_x),P(Vel_x),RMSE(Vel_y),P(Vel_y),R2(Vel)
c16,16.66528101130476,1.574672111343499e-11,15.751303820956617,4.271121020513717e-56,16.452138027899995,3.2683797882031415e-09,0.5295376794079161
c17,17.048801018393664,7.54619967795895e-11,16.270517323655547,6.43607803449893e-68,25.69973768585755,0.4153204114075394,0.796723996875939
c18,22.68207468648453,1.4066471783449578e-35,11.889595778866475,2.7474760128635033e-22,25.18096186892446,3.4973597940974915e-55,0.7865769608470907
c19,23.0788163159367,3.0334604562688e-33,22.23380695341954,6.390274040914068e-83,32.39443056359631,5.354382998540895e-53,0.9086179750696434
c20,36.46927421303552,8.038006182677174e-28,17.9100573118873,2.393671493642206e-11,41.98159134716935,4.756263069546255e-39,0.7672655460389206
c21,26.754224958383176,0.00011514143909402854,13.750153332956822,0.00021561186133612053,30.188821213118036,0.0001726998568839443,0.9109905117555127
mean,23.783078700589726,1.9190255050457738e-05,16.300905753623717,3.5935314212139245e-05,28.649613451094282,0.06924885242213386,0.7832854449991703
std,7.314219054105874,4.700628822453463e-05,3.5793201793077665,8.802317183977862e-05,8.52814361851916,0.1695397608741227,0.1391781747455256
