,RMSE(Direction_x),P(Direction_x),RMSE(Direction_y),P(Direction_y),R2(Direction)
c16,0.1487499032548955,0.23407016157356855,0.12891757263501674,0.5230409014143418,0.9612537257475544
c17,0.044355941239161076,0.06309850947921931,0.16446789924140423,6.509820135521936e-37,0.9709828605959074
c18,0.1961941755237779,1.3584569624080206e-06,0.1356305488684311,0.015253597648293456,0.9431121997041931
c19,0.18683163600523012,0.793669409431949,0.09369322331815486,0.022612417329667733,0.9563155196918636
c20,0.11595225888294253,3.7617924815464743e-10,0.13351656386771613,0.0004993829080944782,0.9687284008329011
c21,0.12704529439792595,0.8082507302678347,0.08200443535639253,0.00021072175642337446,0.9771347657532236
mean,0.13652153488398885,0.3165150282642855,0.12303837388118594,0.09360283684280347,0.9629212453876074
std,0.055224730347245614,0.3849311777923734,0.030213400531177315,0.2105930319872236,0.012161836867194449
