,RMSE(Vel),P(Vel),RMSE(Vel_x),P(Vel_x),RMSE(Vel_y),P(Vel_y),R2(Vel)
c16,16.038789880137738,8.292976067427393e-34,13.651405091874611,7.677722907508196e-25,14.219367603393115,8.840585800340997e-11,0.6185577957806376
c17,15.770039712405515,7.946609660365064e-10,16.66961844340521,1.6887616456548391e-57,27.61270259355742,1.1839030328714082e-08,0.7844920372745197
c18,24.586956624798283,4.811997072978466e-42,13.38630061881462,5.392691187419107e-12,28.02670146936788,4.733416190427097e-71,0.740367565501789
c19,21.49208511906563,8.925732522099142e-10,19.933010342156276,7.495873213702114e-59,28.485531714207113,2.504510959076156e-10,0.9264735662464553
c20,37.85718672982409,5.593884046125812e-27,19.42173904576907,3.153417774939395e-45,42.730392895276005,9.339982546390028e-20,0.7520583837599751
c21,31.2573310412411,4.9794679489619765e-22,14.605285777299974,1.3797986539438628e-06,33.861592441686525,9.493880133090372e-20,0.8854709017663851
mean,24.500398184578728,2.8120570304115307e-10,16.277893219886625,2.299673411058417e-07,29.156048119581342,2.0296478804689076e-09,0.7845700417216269
std,8.728520560621744,4.3674092479762914e-10,2.8793908980659992,5.633000013496597e-07,9.31253284362879,4.806586259690571e-09,0.11035264611669854
