scorer,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000,DLC_resnet50_CricketAug22shuffle1_180000
bodyparts,Head,Head,Head,Pro,Pro,Pro,Meso,Meso,Meso,Meta,Meta,Meta,LF0,LF0,LF0,LF1,LF1,LF1,LF2,LF2,LF2,LM0,LM0,LM0,LM1,LM1,LM1,LM2,LM2,LM2,LH0,LH0,LH0,LH1,LH1,LH1,LH2,LH2,LH2,RF0,RF0,RF0,RF1,RF1,RF1,RF2,RF2,RF2,RM0,RM0,RM0,RM1,RM1,RM1,RM2,RM2,RM2,RH0,RH0,RH0,RH1,RH1,RH1,RH2,RH2,RH2,Bar,Bar,Bar,Axis,Axis,Axis,Fix,Fix,Fix
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,292.5799255371094,184.12713623046875,0.9999942779541016,313.36474609375,173.00575256347656,0.9999827146530151,337.1918640136719,157.8407440185547,0.999901294708252,355.3917236328125,148.88278198242188,0.9999953508377075,316.38482666015625,188.77845764160156,0.9999452829360962,307.42852783203125,199.0836181640625,0.999985933303833,296.7467956542969,199.2605438232422,0.9998874664306641,340.8299560546875,178.01638793945312,0.9999911785125732,347.8792419433594,188.32949829101562,0.9998534917831421,357.1127624511719,188.62229919433594,0.9998824596405029,363.6170349121094,163.630615234375,0.9999845027923584,402.6331787109375,158.6365509033203,0.9999624490737915,408.85601806640625,140.02182006835938,0.9999622106552124,310.13311767578125,157.25778198242188,0.9999865293502808,293.584228515625,151.71339416503906,0.999974250793457,289.91943359375,157.46717834472656,0.9999197721481323,322.0301818847656,143.93850708007812,0.9998383522033691,314.55902099609375,126.68865203857422,0.9998550415039062,315.4331359863281,118.19229888916016,0.999992847442627,349.45404052734375,129.74691772460938,0.9999271631240845,372.0339660644531,101.98965454101562,0.9999960660934448,393.17962646484375,97.36737823486328,0.9999899864196777,325.73590087890625,303.2976379394531,0.9999902248382568,326.5721740722656,160.1253204345703,0.999955415725708,353.4815979003906,149.14208984375,0.9999953508377075
1,292.4961242675781,184.1534423828125,0.9999942779541016,313.37322998046875,173.1056671142578,0.9999828338623047,337.2109375,157.9391632080078,0.999897837638855,355.4350891113281,148.91796875,0.9999955892562866,316.3914794921875,188.8466033935547,0.9999449253082275,307.5246276855469,199.16180419921875,0.9999858140945435,296.8390808105469,199.3152618408203,0.9998835325241089,340.8755798339844,178.09463500976562,0.9999914169311523,347.84808349609375,188.45602416992188,0.9998495578765869,357.1167297363281,188.77407836914062,0.9998819828033447,363.6843566894531,163.72657775878906,0.9999847412109375,402.60870361328125,158.8472442626953,0.9999598264694214,408.8686218261719,140.19345092773438,0.9999630451202393,310.0630798339844,157.33694458007812,0.9999862909317017,293.47674560546875,151.8605194091797,0.9999755620956421,290.03582763671875,157.5701141357422,0.9999222755432129,321.9938659667969,144.0322723388672,0.9998462200164795,314.52154541015625,126.77672576904297,0.99985671043396,315.392578125,118.27763366699219,0.9999927282333374,349.4589538574219,129.83123779296875,0.9999302625656128,372.12249755859375,102.12471008300781,0.9999957084655762,393.3254089355469,97.45341491699219,0.9999901056289673,325.72369384765625,303.4345703125,0.9999899864196777,326.57733154296875,160.24317932128906,0.9999570846557617,353.5205078125,149.1660919189453,0.9999955892562866
2,292.47918701171875,184.30397033691406,0.9999945163726807,313.3904113769531,173.20687866210938,0.9999828338623047,337.27398681640625,158.0548858642578,0.9998952150344849,355.5459899902344,148.99612426757812,0.9999958276748657,316.3654479980469,189.00534057617188,0.9999426603317261,307.5588073730469,199.2888946533203,0.9999850988388062,296.85211181640625,199.3873748779297,0.9998717308044434,340.9033508300781,178.16653442382812,0.9999915361404419,347.85614013671875,188.57142639160156,0.9998432397842407,357.2872619628906,189.10520935058594,0.9998819828033447,363.707275390625,163.8263397216797,0.9999856948852539,402.9242858886719,158.7093505859375,0.9999587535858154,408.86566162109375,140.33872985839844,0.9999638795852661,310.04302978515625,157.45838928222656,0.9999862909317017,293.4246520996094,152.0116729736328,0.9999740123748779,290.0721740722656,157.66607666015625,0.9999221563339233,321.97113037109375,144.17066955566406,0.9998564720153809,314.5242919921875,126.8810043334961,0.9998565912246704,315.3622741699219,118.27491760253906,0.9999924898147583,349.5130920410156,129.9447021484375,0.9999333620071411,372.14898681640625,102.25448608398438,0.9999953508377075,393.3416442871094,97.5385971069336,0.9999909400939941,325.7186279296875,303.562744140625,0.9999897480010986,326.63763427734375,160.3566131591797,0.9999599456787109,353.6419372558594,149.25637817382812,0.9999959468841553
3,292.5523986816406,184.1439208984375,0.9999945163726807,313.4393005371094,173.1018524169922,0.999983549118042,337.36224365234375,157.8989715576172,0.9999039173126221,355.5714111328125,148.90536499023438,0.9999955892562866,316.49005126953125,188.86050415039062,0.9999436140060425,307.5695495605469,199.19699096679688,0.9999858140945435,296.92681884765625,199.3116912841797,0.9998832941055298,340.9671936035156,178.0791473388672,0.9999912977218628,347.9559631347656,188.4777374267578,0.9998483657836914,357.1805114746094,188.8598175048828,0.9998834133148193,363.72882080078125,163.74623107910156,0.9999849796295166,402.98345947265625,158.68101501464844,0.9999585151672363,408.8935546875,140.3096160888672,0.9999642372131348,310.1400146484375,157.33106994628906,0.9999867677688599,293.5867004394531,151.894287109375,0.9999734163284302,289.96832275390625,157.62310791015625,0.9999220371246338,322.11279296875,144.02658081054688,0.9998475313186646,314.5663757324219,126.71879577636719,0.999853253364563,315.3753662109375,118.23558807373047,0.9999924898147583,349.6512145996094,129.81521606445312,0.9999300241470337,372.1797790527344,102.12692260742188,0.9999955892562866,393.31549072265625,97.45111083984375,0.9999903440475464,325.738525390625,303.411376953125,0.9999899864196777,326.69622802734375,160.17193603515625,0.9999560117721558,353.66619873046875,149.16796875,0.9999957084655762
4,292.6861267089844,184.00733947753906,0.9999945163726807,313.45477294921875,172.95506286621094,0.9999836683273315,337.3639831542969,157.74917602539062,0.9999070167541504,355.4010009765625,148.81143188476562,0.999995231628418,316.4561767578125,188.63345336914062,0.9999434947967529,307.44964599609375,198.9729461669922,0.9999855756759644,296.8008728027344,199.15390014648438,0.9998879432678223,340.9095153808594,177.8495330810547,0.9999903440475464,347.88592529296875,188.11566162109375,0.999850869178772,357.952392578125,190.25160217285156,0.9998754262924194,363.5946044921875,163.544921875,0.9999841451644897,402.7753601074219,158.6313018798828,0.9999637603759766,408.8506164550781,140.09954833984375,0.99996018409729,310.3067626953125,157.18212890625,0.9999874830245972,293.7245178222656,151.68798828125,0.999972939491272,289.8838806152344,157.40553283691406,0.9999181032180786,322.2038269042969,143.9125518798828,0.9998399019241333,314.5693054199219,126.56864929199219,0.9998487234115601,315.45953369140625,118.11602783203125,0.9999924898147583,349.5731506347656,129.75732421875,0.9999264478683472,372.0805358886719,102.014404296875,0.9999958276748657,393.07989501953125,97.29856872558594,0.9999897480010986,325.7876892089844,303.2442932128906,0.9999902248382568,326.7868957519531,160.0708465576172,0.9999532699584961,353.513671875,149.12945556640625,0.999995231628418
5,292.69384765625,184.02200317382812,0.9999943971633911,313.4461975097656,172.9634246826172,0.9999834299087524,337.36041259765625,157.74574279785156,0.9999063014984131,355.39739990234375,148.81561279296875,0.9999951124191284,316.4560241699219,188.650390625,0.9999433755874634,307.4625244140625,198.98880004882812,0.9999856948852539,296.820068359375,199.17068481445312,0.9998877048492432,340.8980407714844,177.85519409179688,0.9999902248382568,347.8778991699219,188.13232421875,0.9998495578765869,357.95697021484375,190.26040649414062,0.9998749494552612,363.5890197753906,163.5522918701172,0.9999839067459106,402.7889099121094,158.6431884765625,0.9999635219573975,408.8487854003906,140.09767150878906,0.9999600648880005,310.2689514160156,157.1651153564453,0.9999874830245972,293.6391296386719,151.7069854736328,0.9999737739562988,289.8424987792969,157.43576049804688,0.99991774559021,322.2219543457031,143.86387634277344,0.9998364448547363,314.5768127441406,126.5063247680664,0.9998432397842407,315.47454833984375,118.08306884765625,0.9999926090240479,349.58447265625,129.73800659179688,0.9999271631240845,372.0697937011719,102.02618408203125,0.9999958276748657,393.1294860839844,97.27936553955078,0.9999896287918091,325.7762145996094,303.2519836425781,0.9999902248382568,326.791015625,160.0673370361328,0.9999531507492065,353.5075378417969,149.13421630859375,0.999995231628418
6,292.62646484375,184.21664428710938,0.9999945163726807,313.4858703613281,173.06642150878906,0.9999840259552002,337.4286193847656,157.91944885253906,0.9999040365219116,355.6075134277344,148.95538330078125,0.9999954700469971,316.4960021972656,188.88548278808594,0.9999420642852783,307.5292053222656,199.20924377441406,0.9999849796295166,296.90594482421875,199.29794311523438,0.9998787641525269,340.99072265625,178.01959228515625,0.9999909400939941,347.88946533203125,188.34841918945312,0.9998471736907959,357.1666259765625,188.72940063476562,0.9998754262924194,363.8326416015625,163.64956665039062,0.9999843835830688,402.66314697265625,158.86708068847656,0.9999581575393677,408.8859558105469,140.24188232421875,0.9999635219573975,310.2349548339844,157.31922912597656,0.9999862909317017,293.4684143066406,151.9056396484375,0.9999734163284302,289.998291015625,157.6297149658203,0.9999207258224487,322.15545654296875,144.0391082763672,0.9998528957366943,314.54351806640625,126.68522644042969,0.999849796295166,315.41845703125,118.27771759033203,0.9999921321868896,349.64459228515625,129.86181640625,0.9999300241470337,372.1131286621094,102.18695068359375,0.9999954700469971,393.1207580566406,97.51921081542969,0.9999899864196777,325.7518005371094,303.4142150878906,0.9999896287918091,326.79998779296875,160.1904296875,0.9999569654464722,353.70361328125,149.2740936279297,0.9999957084655762
7,292.6409606933594,184.31398010253906,0.9999945163726807,313.4656677246094,173.16529846191406,0.9999839067459106,337.424072265625,158.00502014160156,0.9999003410339355,355.58880615234375,148.96267700195312,0.9999957084655762,316.5283203125,189.00599670410156,0.9999418258666992,307.6257019042969,199.32785034179688,0.999984860420227,296.9851989746094,199.31822204589844,0.9998742341995239,341.0218505859375,178.11846923828125,0.9999911785125732,347.9427490234375,188.48680114746094,0.9998445510864258,357.2047424316406,189.00946044921875,0.9998773336410522,363.8541564941406,163.7299041748047,0.9999855756759644,403.05157470703125,158.658203125,0.999958872795105,408.85546875,140.38055419921875,0.9999644756317139,310.20440673828125,157.419921875,0.9999864101409912,293.426025390625,152.0481414794922,0.9999717473983765,290.0386047363281,157.710205078125,0.9999203681945801,322.0776672363281,144.1493682861328,0.9998606443405151,314.5093994140625,126.8198471069336,0.9998550415039062,315.3536071777344,118.33544921875,0.9999920129776001,349.54107666015625,129.9493408203125,0.9999328851699829,372.0769348144531,102.27110290527344,0.999995231628418,393.25115966796875,97.52902221679688,0.9999901056289673,325.7455749511719,303.51434326171875,0.9999895095825195,326.79193115234375,160.2566375732422,0.9999586343765259,353.684326171875,149.2690887451172,0.9999958276748657
