,ThC_LF,ThC_LM,ThC_LH,ThC_RF,ThC_RM,ThC_RH,FTi_LF,FTi_LM,FTi_LH,FTi_RF,FTi_RM,FTi_RH,Direction,Direction_x,Direction_y,Vel,Vel.x,Vel.y,Ang.Vel
3314,8.431853795057805,95.25443735778428,156.40959115351245,288.96076413576105,290.55796987240166,211.7815649831264,144.41414888152144,-18.41688449259865,-123.78454050547612,-15.035776925639604,-162.98389672507778,111.46137319848222,186.2165576325796,-0.9941197122448272,-0.1082866461123534,58.69344555097726,-55.704484465966225,-16.80113833305263,0.275623845048875
3315,14.670317678861238,96.97822272761633,155.63895673206892,288.2980838800006,285.11681655698754,210.9933853066684,127.77014082761856,-36.71944782864821,-112.4374540510066,-5.101517272623013,-156.18223534489567,117.22410891630948,185.7001798060481,-0.9950552582703376,-0.0993228724340564,58.13875394917513,-54.86119823196241,-17.647856043930773,0.2639704408472002
3316,15.517284356954065,100.6719858374953,154.11090394221105,281.79493719858345,280.3723071325596,209.9732769245842,121.21210653889318,-51.98642610752768,-82.06160400435112,4.300152147582544,-148.25351450267556,123.65890540190269,185.03061089568,-0.996147992012676,-0.0876879581762155,58.03936094536473,-54.432089258799806,-18.644289349473627,0.25511811749773045
3317,18.997304384397523,106.1634764489267,152.2793389574746,280.08617401067585,281.00142849914386,208.1149956674156,99.79665754387192,-74.01481921212331,-65.9527345946183,9.157544601776491,-159.95514993067565,130.05671438824967,184.24069952813736,-0.9972622015370336,-0.0739466117243323,58.39228474943173,-54.40428427728355,-19.820331248847474,0.24880130529998137
3318,21.84160852274897,111.95788772482273,152.66112137217482,280.935401234276,279.77561898245386,206.32842261189464,95.833209286138,-85.40033130231367,-46.143984120073526,9.455890074265952,-160.25597164739065,134.25710655699345,183.16589114953337,-0.9984738184558102,-0.0552271116234932,58.7145951138859,-54.37221445138551,-20.884511387823135,0.24077183702366584
3319,28.117717931081188,108.77136064212928,152.20771480352002,283.5149713400401,275.96172979640784,205.59770677172864,83.39296220740422,-84.35004098030865,-40.803949936526806,1.57999492800964,-167.2100432694038,136.4824357049666,183.5514690587333,-0.9980795555262212,-0.0619451438014348,59.01596134966082,-54.33491768632873,-21.86875517056988,0.23078882862049435
3320,30.01765683310566,109.9267472318453,150.78442948546294,298.1209435978409,275.31066833269966,203.428923166086,73.69844760535702,-95.96975552582676,-44.6168533831742,-135.98883983532605,-174.02958179754555,143.79408506895524,181.6684993113965,-0.999576019276236,-0.0291166908812409,59.37815866955526,-54.40495165597534,-22.731739918020253,0.22208852870708115
3321,28.69918796363868,112.61248369928455,150.7394077375325,302.87941057886,271.7186532641121,198.9520735184713,63.71133402615743,231.68326653810485,-49.02777304627031,-141.59333708847308,-207.1804876482593,154.17811988380834,181.73234370289,-0.999542954141316,-0.0302304949752944,59.81205299316607,-54.58441737941472,-23.49935517259778,0.21440992828602393
3322,32.832980774158216,92.49356743377048,152.9013423350249,311.0609037179595,266.1902952023993,199.08270245631977,47.62429486541782,224.5102723842179,-56.646327999467104,-137.71229391894374,-217.30874038314624,-202.2404899593769,181.8729946864588,-0.999465732009992,-0.0326841022169915,60.33066115020156,-54.878698828350075,-24.194629391939788,0.20752266934469088
3323,37.1586647214026,81.91274782897517,152.5787292055454,314.7981196129822,262.8627714322337,196.7447444205635,39.26630164603921,177.02485890973077,-59.83185359471023,-142.61139955795522,-243.9570430242253,-198.48880319020589,183.22481438066825,-0.9984164946611336,-0.0562539170953875,60.82593683370873,-55.18037840667055,-24.79439308573723,0.1978632104172029
3324,41.81898814337961,65.27750491055366,151.87321037568594,318.85022946322056,257.1167782049527,201.48952036552612,34.27278748386561,178.39030750850895,-65.80188072804836,-141.12867757131664,-240.01389763485963,-207.5313950372871,183.55220260397,-0.9980787623744004,-0.061957921988922,61.3127383141928,-55.49850650172576,-25.316639164804037,0.18514176773573535
3325,44.616971672084674,59.0438381965821,151.74580806121338,324.65377875659215,254.06567467339988,203.27399953137387,34.32626893841655,174.10775377870482,-77.60724841161732,-146.09172402398792,-238.8607603176622,145.0251191199969,183.9939247807112,-0.9975714411108888,-0.0696506990628548,61.83449359673625,-55.83288071829291,-25.865090445290807,0.1756905454151225
3326,47.69582942114755,55.48899887104034,152.3915274183212,327.73819603988613,250.2797375859967,209.4586647299592,23.7467792842873,167.49546933099543,-84.34823037036065,-144.13520149142315,-240.8806891363987,132.97087101627292,184.03110333484392,-0.9975260355820093,-0.0702979966715989,62.406855339815394,-56.19353228286902,-26.45620046561214,0.16922600678574598
3327,49.038049656914325,64.83204512263916,153.09334782856732,324.9539484369486,253.0579431187365,215.75558641974763,19.01479347701877,51.04337903940689,-86.17289258178519,-138.28494364025357,-227.6546989245468,112.77980158043556,183.7037410798052,-0.9979114025620895,-0.0645974661775768,63.04699439572262,-56.59128074239136,-27.10770252637768,0.16555421568872447
3328,51.39629443021192,68.67868028643522,153.21285125565424,319.1387550529608,251.09928742422085,222.43163374520148,6.845293231612118,30.05377524018669,-96.61059104684284,-130.83043253648034,-234.789865583549,100.58419854950786,183.9051388732165,-0.9976781745138248,-0.0681047729514015,63.46996157382703,-56.82461593681513,-27.583240070749834,0.15697061665808304
3329,51.00004710968517,69.11261731204047,154.95175925024935,314.34037115456806,246.64570137011603,226.8398673447888,12.635439814053996,10.035566906445126,-107.346319922167,-125.08788927976084,-230.8161390034216,87.30588963907786,185.91060053865908,-0.9946837820033456,-0.1029765692743795,63.68844588947178,-56.900537921973076,-27.897079225059773,0.1432177017229025
3330,44.36717012482353,76.76747358351105,151.81376060702678,310.3199324031319,243.60938124603388,225.53168282714603,132.71164967590337,19.83120079771342,-116.00129168924838,-129.51596242461832,-223.22811265793703,75.93100053414796,189.41756495311347,-0.9865220450171228,-0.1636284043044911,63.77632455783742,-56.85632221232358,-28.137749839161874,0.1328942850191885
3331,42.10187319066881,77.31033731033796,151.56297816325448,303.3769003005984,239.66984208946363,224.2549595794769,140.79591642941676,11.693811360315266,-124.0065954792556,-129.5395543800316,-216.1357133590377,67.06739767878284,192.5736978097898,-0.9760167999019288,-0.217695214254237,63.73623393897493,-56.69064233657722,-28.3124720314792,0.1256906640458297
