,pred_vel,pred_vel_x,pred_vel_y,label_vel,label_vel_x,label_vel_y
5181,82.25580596923828,62.044368743896484,38.99738311767578,79.77055206774104,71.2066571321859,32.253735898910094
5182,82.63713836669922,61.982791900634766,39.37337875366211,79.54029336323188,71.86359109478373,30.108918532595187
5183,83.05460357666016,61.929344177246094,39.8223991394043,79.82546009635914,72.96703123413072,28.107252473073412
5184,83.39332580566406,61.889739990234375,40.30928421020508,80.6346072691166,74.55008075440725,26.188687738559164
5185,83.72663879394531,61.795989990234375,40.73492431640625,81.27960461640362,75.89807532379957,24.304608145570487
5186,84.059326171875,61.71818161010742,41.17626190185547,81.7798020586388,77.05145477938946,22.39849130631775
5187,84.38191986083984,61.65542221069336,41.63547897338867,82.15020551908921,78.04482050484461,20.413153715623363
5188,84.66040802001953,61.5937614440918,42.05648422241211,82.39069521766359,78.81184012364886,18.668755332419693
5189,84.9510269165039,61.48167419433594,42.65593338012695,82.50848584531919,79.37552422436634,17.112964205210623
5190,85.13401794433594,61.399253845214844,43.14789962768555,82.30854508126913,79.53367017767206,15.884834302168914
5191,85.3395767211914,61.31146240234375,43.60858154296875,81.78487470259196,79.2910223621652,14.947521726203274
5192,85.55970764160156,61.262943267822266,44.01903533935547,81.21902795082066,78.9591805327437,14.087179398045746
5193,85.7285385131836,61.234561920166016,44.26249313354492,80.59402942340213,78.52818943452493,13.277997047851622
5194,85.66486358642578,61.238563537597656,44.28767013549805,79.89112916451384,77.98511933456233,12.495699205115079
5195,85.67369079589844,61.228668212890625,44.81654357910156,79.23319129556528,77.43089879324336,12.017422345982153
5196,85.69414520263672,61.17098617553711,44.87055587768555,78.60047768048803,76.84890119432845,11.828818164678836
5197,85.64297485351562,61.17646026611328,44.95923614501953,78.19043447092353,76.44591868772686,11.80041006777338
5198,85.626220703125,61.12234115600586,44.813629150390625,77.99076037058495,76.20986179824051,11.931345812358638
5199,85.49185943603516,61.00049591064453,44.635013580322266,77.99546515646198,76.13364881918483,12.22555347077214
5200,73.12519073486328,60.31847381591797,29.439783096313477,78.04086693754631,76.09050732032811,12.418076136998721
5201,73.32759094238281,60.26906967163086,29.659353256225586,78.12832776727048,76.07914305670467,12.514689491025178
5202,73.57415008544922,60.21662139892578,29.85410499572754,78.15852751066095,76.05553423339937,12.279595756040496
5203,73.75829315185547,60.157554626464844,29.998567581176758,78.13237216001949,76.01897258571307,11.705742119995143
5204,73.95636749267578,60.05963134765625,30.258535385131836,77.76244750254861,75.649482074852,10.855703724911121
5205,74.11433410644531,59.9150505065918,30.581457138061523,77.0376557985242,74.93597798549034,9.703979418935894
5206,74.29021453857422,59.75022506713867,30.967845916748047,75.93625329682551,73.85705519494722,8.216017472890234
5207,74.51045227050781,59.5926399230957,31.33295249938965,74.78337026950472,72.72545144950627,6.444175220724843
5208,74.71952819824219,59.4161491394043,31.67078399658203,73.5444202257422,71.50721863680421,4.335297394874791
5209,74.93820190429688,59.23350143432617,32.05604553222656,72.44511333016682,70.37508808456776,2.1796915474355147
