1000, 0.03618, 0.005
2000, 0.02068, 0.005
3000, 0.01743, 0.005
4000, 0.01536, 0.005
5000, 0.01459, 0.005
6000, 0.01287, 0.005
7000, 0.01277, 0.005
8000, 0.01188, 0.005
9000, 0.01135, 0.005
10000, 0.01109, 0.005
11000, 0.01190, 0.02
12000, 0.01045, 0.02
13000, 0.00954, 0.02
14000, 0.00906, 0.02
15000, 0.00833, 0.02
16000, 0.00804, 0.02
17000, 0.00779, 0.02
18000, 0.00747, 0.02
19000, 0.00723, 0.02
20000, 0.00694, 0.02
21000, 0.00691, 0.02
22000, 0.00662, 0.02
23000, 0.00637, 0.02
24000, 0.00627, 0.02
25000, 0.00626, 0.02
26000, 0.00610, 0.02
27000, 0.00607, 0.02
28000, 0.00584, 0.02
29000, 0.00578, 0.02
30000, 0.00574, 0.02
31000, 0.00571, 0.02
32000, 0.00562, 0.02
33000, 0.00550, 0.02
34000, 0.00537, 0.02
35000, 0.00546, 0.02
36000, 0.00543, 0.02
37000, 0.00530, 0.02
38000, 0.00526, 0.02
39000, 0.00512, 0.02
40000, 0.00518, 0.02
41000, 0.00517, 0.02
42000, 0.00505, 0.02
43000, 0.00503, 0.02
44000, 0.00498, 0.02
45000, 0.00485, 0.02
46000, 0.00498, 0.02
47000, 0.00490, 0.02
48000, 0.00480, 0.02
49000, 0.00476, 0.02
50000, 0.00468, 0.02
51000, 0.00476, 0.02
52000, 0.00473, 0.02
53000, 0.00464, 0.02
54000, 0.00458, 0.02
55000, 0.00461, 0.02
56000, 0.00460, 0.02
57000, 0.00458, 0.02
58000, 0.00461, 0.02
59000, 0.00450, 0.02
60000, 0.00448, 0.02
61000, 0.00448, 0.02
62000, 0.00438, 0.02
63000, 0.00437, 0.02
64000, 0.00445, 0.02
65000, 0.00439, 0.02
66000, 0.00434, 0.02
67000, 0.00431, 0.02
68000, 0.00432, 0.02
69000, 0.00438, 0.02
70000, 0.00433, 0.02
71000, 0.00421, 0.02
72000, 0.00421, 0.02
73000, 0.00422, 0.02
74000, 0.00420, 0.02
75000, 0.00417, 0.02
76000, 0.00420, 0.02
77000, 0.00414, 0.02
78000, 0.00414, 0.02
79000, 0.00408, 0.02
80000, 0.00421, 0.02
81000, 0.00416, 0.02
82000, 0.00407, 0.02
83000, 0.00408, 0.02
84000, 0.00405, 0.02
85000, 0.00400, 0.02
86000, 0.00395, 0.02
87000, 0.00395, 0.02
88000, 0.00403, 0.02
89000, 0.00391, 0.02
90000, 0.00403, 0.02
91000, 0.00396, 0.02
92000, 0.00400, 0.02
93000, 0.00401, 0.02
94000, 0.00387, 0.02
95000, 0.00401, 0.02
96000, 0.00399, 0.02
97000, 0.00390, 0.02
98000, 0.00391, 0.02
99000, 0.00391, 0.02
100000, 0.00389, 0.02
101000, 0.00387, 0.02
102000, 0.00384, 0.02
103000, 0.00387, 0.02
